reference,category,type,subject,date,notifying_country,classification,risk_decision
"2021.3824","fish and products thereof ","food","mercurio in filoni di pesce spada decongelati preparati ","19-07-2021 10:50:09","Italy","information notification for attention","serious"
"2021.3823","nuts, nut products and seeds","food","aflatoxin B1 (53±13 µg/kg) and sum of aflatoxin (60±15 µg/kg) in pistachios in shell salted and roasted imported from Ukraine, raw material - Iran","19-07-2021 10:34:21","Poland","border rejection notification","serious"
"2021.3822","soups, broths, sauces and condiments","food","Allergen Crustaceans not declared on Curry Pastes","19-07-2021 10:33:37","Ireland","information notification for attention","not serious"
"2021.3820","fish and products thereof ","food","larve di anisakis in sgombro fresco scomber scombrus dall'Olanda/possible presence of anisakis in fresh mackerel from Netherlands","19-07-2021 09:23:15","Italy","information notification for attention","not serious"
"2021.3819","food contact materials","food contact material","Lunch box (Bamboo), from China via UK","18-07-2021 11:57:32","Portugal","border rejection notification","undecided"
"2021.3818","fruits and vegetables","food","Cassava roots from Costa Rica","18-07-2021 11:55:59","Portugal","border rejection notification","undecided"
"2021.3817","cereals and bakery products","food","Acrylamide in biscuits from Nord Macedonia","17-07-2021 08:42:40","Croatia","border rejection notification","serious"
"2021.3816","herbs and spices","food","Salmonella in Brazilian black pepper","16-07-2021 21:38:11","Netherlands","border rejection notification","serious"
"2021.3815","other food product / mixed","food","unauthorised novel food ingredient nicotine in tobacco-free nicotine pouches from the Netherlands","16-07-2021 16:59:29","Germany","information notification for follow-up","undecided"
"2021.3814","poultry meat and poultry meat products","food","Salmonella Infantis Salmonella Newport in chicken neck skins from Poland ","16-07-2021 16:34:44","Poland","information notification for attention","not serious"
"2021.3813","meat and meat products (other than poultry)","food","Salmonella group C in meatballs from Bulgaria","16-07-2021 16:32:18","Germany","information notification for follow-up","not serious"
"2021.3811","cereals and bakery products","food","Foreign body (plastic fragment) in green wheat from Jordan","16-07-2021 16:27:22","Germany","alert notification","serious"
"2021.3810","food additives and flavourings","food","Ethylene oxide in locust bean gum (E 410) and mixes with E410","16-07-2021 16:26:09","Belgium","alert notification","serious"
"2021.3809","herbs and spices","food","Ethylene oxyde in curry","16-07-2021 15:58:24","France","alert notification","serious"
"2021.3807","feed materials","feed","Enterobacteriaceae in sheep meal from New Zealand","16-07-2021 15:40:56","Belgium","border rejection notification","not serious"
"2021.3806","poultry meat and poultry meat products","food","Salmonella Enteritidis in chilled chicken quarters from Lithuania","16-07-2021 15:24:36","Latvia","information notification for attention","serious"
"2021.3803","herbs and spices","food","Salmonella in black pepper from Brazil","16-07-2021 14:54:29","Netherlands","border rejection notification","serious"
"2021.3800","dietetic foods, food supplements and fortified foods","food","2-chloroethanol and ethylene oxide in food supplements from Austria","16-07-2021 13:35:33","Germany","information notification for attention","serious"
"2021.3799","soups, broths, sauces and condiments","food","Milk not mentioned in the ingredient list in pesto from Belgium","16-07-2021 13:02:25","Belgium","alert notification","serious"
"2021.3796","food contact materials","food contact material","Bamboo, corn and other plants fibre mixed with melamine in bamboo lunchbox and travel mug from China ","16-07-2021 12:10:42","Malta","border rejection notification","not serious"
"2021.3795","food contact materials","food contact material","Unauthorised substance (tributyl citrate) in PLA lunch box from China","16-07-2021 12:01:46","Greece","border rejection notification","undecided"
"2021.3792","herbs and spices","food","Salmonella Javiana in black pepper from Brazil","16-07-2021 11:21:48","Germany","border rejection notification","serious"
"2021.3791","herbs and spices","food","S. Abaetetuba and S. Oranienburg in black pepper from Brazil ","16-07-2021 10:56:17","Germany","border rejection notification","serious"
"2021.3789","other food product / mixed","food","glass shards or glass splinters in Atjar Tjampoer","16-07-2021 10:40:49","Netherlands","alert notification","serious"
"2021.3788","cereals and bakery products","food","Tricyclazole and thiamethoxam in rice from Lebanon with destination France","16-07-2021 10:35:24","Belgium","alert notification","undecided"
"2021.3787","meat and meat products (other than poultry)","food","Salmonella food poisoning - FUET","16-07-2021 10:32:04","France","alert notification","serious"
"2021.3782","milk and milk products","food","Listeria monocytogenes in Brie cheese from France","16-07-2021 09:59:29","Denmark","information notification for attention","undecided"
"2021.3781","fruits and vegetables","food","triadimenol in pickled vine leaves from Turkey ","16-07-2021 09:37:38","Germany","information notification for attention","serious"
"2021.3779","food contact materials","food contact material","Migration of melamine and formaldehyde from tableware set for children from China","15-07-2021 17:12:34","Germany","information notification for attention","not serious"
"2021.3778","dietetic foods, food supplements and fortified foods","food","2-chloroethanol and ethylene oxide in food supplements from Austria","15-07-2021 16:50:38","Germany","information notification for attention","serious"
"2021.3776","herbs and spices","food","Salmonella spp. in cumin from Lebanon","15-07-2021 16:33:41","Germany","alert notification","serious"
"2021.3774","cereals and bakery products","food","Cronobacter spp. (presence /10g) in rice flour from Turkey, via Germany","15-07-2021 15:55:43","Belgium","alert notification","serious"
"2021.3773","pet food","feed","Pet food with high number of bacteria, no labeling and defective closure from Austria","15-07-2021 15:48:16","Austria","information notification for follow-up","serious"
"2021.3772","poultry meat and poultry meat products","food","Salmonella spp in poultry meat preparation from Italy","15-07-2021 15:42:26","Greece","information notification for attention","serious"
"2021.3770","cephalopods and products thereof","food","Cadmium in squid (Ilex argentinus) from Argentina","15-07-2021 15:27:59","Germany","border rejection notification","serious"
"2021.3769","fruits and vegetables","food","Chlorpyrifos and diniconazol in fresh celery from Thailand","15-07-2021 15:20:04","Denmark","information notification for attention","undecided"
"2021.3768","fish and products thereof ","food","istamina in eccesso in tonno fresco// High livel of histamine in fresh tuna","15-07-2021 14:57:14","Italy","information notification for attention","serious"
"2021.3766","food contact materials","food contact material","FCM Lunch box natural containing PP and bioingredient - rice husk","15-07-2021 14:39:17","Poland","information notification for follow-up","not serious"
"2021.3761","confectionery","food","Jelly mini-cups -Suffocation risk","15-07-2021 11:46:31","Switzerland","alert notification","serious"
"2021.3757","food contact materials","food contact material","misleading of the consumer - bambooware","15-07-2021 09:56:22","Luxembourg","information notification for attention","not serious"
"2021.3755","poultry meat and poultry meat products","food","Salmonella Enteritidis in official samples of chicken neck skins from Poland ","15-07-2021 09:01:10","Poland","information notification for attention","serious"
"2021.3754","poultry meat and poultry meat products","food","Salmonella in turkey meat preparation","15-07-2021 08:45:29","Netherlands","border rejection notification","serious"
"2021.3753","fruits and vegetables","food","Undeclared and too high content of sulfur dioxide in candied apple and apricot","14-07-2021 16:47:00","Denmark","alert notification","serious"
"2021.3752","cephalopods and products thereof","food","cadmium (up to 2.39 mg/kg - ppm) in frozen whole cleaned squids from India","14-07-2021 16:35:56","Italy","information notification for attention","serious"
"2021.3750","nuts, nut products and seeds","food"," Óxido de etileno-Semillas de sésamo- India/Ethylene Oxide-Sesame Seeds- India","14-07-2021 15:54:57","Spain","border rejection notification","serious"
"2021.3749","nuts, nut products and seeds","food","ADITIVOS NO AUTORIZADOS Y POR ENCIMA DEL LIMITE- CACAHUETES-MARRUECOS/UNAUTHORIZED ADDITIVES AND ABOVE THE LIMIT- PEANUTS-MOROCCO","14-07-2021 15:53:27","Spain","border rejection notification","no risk"
"2021.3748","poultry meat and poultry meat products","food","S. enteritidis and S. typhimurium in frozen duck meat from Poland ","14-07-2021 15:32:45","Italy","alert notification","serious"
"2021.3747","pet food","feed","chewing articles for dogs with foreign bodies","14-07-2021 15:31:38","Romania","alert notification","serious"
"2021.3746","feed materials","feed","Biphenyl and chlorpyrifos in sesame seeds","14-07-2021 15:22:24","Belgium","information notification for follow-up","not serious"
"2021.3745","meat and meat products (other than poultry)","food","Wrong use-by-date on dry-salted bacon from Poland","14-07-2021 15:16:41","Denmark","alert notification","serious"
"2021.3744","nuts, nut products and seeds","food","Aflatoxins in peanuts from United States","14-07-2021 15:05:32","Netherlands","border rejection notification","serious"
"2021.3743","nuts, nut products and seeds","food","Aflatoxins in watermelon seeds from the Islamic Republic of Iran","14-07-2021 15:01:45","Germany","alert notification","serious"
"2021.3738","milk and milk products","food","Listeria monocytogenes (< 10 CFU/g) in gorgonzola from Italy, packaged in France","14-07-2021 11:52:37","France","information notification for attention","serious"
"2021.3737","compound feeds","feed","To much of Mn and Zn in feed for poultry","14-07-2021 11:19:13","Belgium","information notification for attention","not serious"
"2021.3736","prepared dishes and snacks","food","Undeclared milk in rice and pea chips from Belgium","14-07-2021 10:59:27","Belgium","information notification for attention","serious"
"2021.3735","herbs and spices","food","Ethylene oxide in organic Moringa powder from India","14-07-2021 10:54:14","Germany","alert notification","serious"
"2021.3734","fish and products thereof ","food","use-by-date on the label of smoked salmon is incorrect","14-07-2021 10:50:29","Belgium","alert notification","serious"
"2021.3733","poultry meat and poultry meat products","food","Salmonella spp. in mechanically separated chicken meat from Poland","14-07-2021 09:52:35","Italy","alert notification","serious"
"2021.3732","fruits and vegetables","food","Chlorpyrifos  in fresh bananas from Ecuador","14-07-2021 09:01:51","Croatia","information notification for attention","undecided"
"2021.3725","other food product / mixed","food","AdditivesE-110 (not approved), E-102,E-133 and E-122 above permitted values in boiled canned beans from United Kingdom ","13-07-2021 17:19:33","Spain","border rejection notification","not serious"
"2021.3724","soups, broths, sauces and condiments","food","Unauthorized novel food ingredient yellow pea (Lathyrus aphaca) in asa foetida condiment from the United Kingdom","13-07-2021 17:18:51","Spain","border rejection notification","undecided"
"2021.3723","cereals and bakery products","food","Óxido de Etileno- extracto de Bambú- La India/Ethylene Oxide- Bamboo extract- India","13-07-2021 17:17:52","Spain","border rejection notification","undecided"
"2021.3720","food additives and flavourings","food","Ethylene oxide in locust bean gum from Italy","13-07-2021 16:22:49","Germany","alert notification","serious"
"2021.3719","food additives and flavourings","food","Ethylene oxide in locust bean gum from Turkey","13-07-2021 15:47:59","Germany","alert notification","serious"
"2021.3718","dietetic foods, food supplements and fortified foods","food","Tetrahydrocannabinol (THC) and cannabigerol (CBG) in food supplements from Austria","13-07-2021 15:17:04","Germany","information notification for follow-up","undecided"
"2021.3717","fish and products thereof ","food","ascorbic acid above the maximum permitted limit","13-07-2021 15:07:47","Italy","information notification for attention","not serious"
"2021.3716","fruits and vegetables","food","Chlorpyrifos  in fresh red grepefruit from Turkey","13-07-2021 15:05:32","Croatia","information notification for attention","undecided"
"2021.3714","food contact materials","food contact material","Unauthorised use of straw in PLA coffee cup from China","13-07-2021 13:27:11","Greece","border rejection notification","not serious"
"2021.3711","dietetic foods, food supplements and fortified foods","food","Ethylene oxide in food supplement with curcuma extract","13-07-2021 12:04:26","Belgium","alert notification","undecided"
"2021.3710","nuts, nut products and seeds","food","Presence of Salmonella spp. in  sesame seeds from Pakistan","13-07-2021 12:01:42","Greece","border rejection notification","serious"
"2021.3707","nuts, nut products and seeds","food","Hydrocianic acid in apricot kernels","13-07-2021 10:54:13","Italy","border rejection notification","serious"
